month,total_nodes,connected_nodes,edges,density,num_components,giant_component_size,giant_component_fraction,avg_degree,std_degree,max_degree,avg_clustering,transitivity,avg_shortest_path,modularity,num_communities,avg_betweenness,avg_degree_centrality,assortativity,new_nodes,new_edges,edges_per_node,isolated_nodes
2022-12,1,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,1,0,0.0,1
2023-01,18,4,2,0.3333333333333333,2,2,0.5,1.0,0.0,1,0.0,0,1.0,0.0,1,0.0,1.0,nan,17,2,0.5,14
2023-02,59,14,8,0.08791208791208792,6,3,0.21428571428571427,1.3333333333333333,0.4714045207910317,2,0.0,0,1.3333333333333333,0.0,1,0.3333333333333333,0.6666666666666666,-1.0,41,6,0.5714285714285714,45
2023-03,195,40,42,0.05384615384615385,6,17,0.425,2.588235294117647,2.327806933812868,11,0.3711229946524064,0.2222222222222222,2.4558823529411766,0.367345379788627,4,0.09705882352941175,0.16176470588235295,-0.3826947912182522,136,34,1.05,155
2023-04,279,63,76,0.03891449052739376,11,19,0.30158730158730157,2.6315789473684212,2.454009100394688,12,0.3406698564593301,0.21428571428571427,2.5146198830409356,0.37067584523584196,4,0.0890952872377021,0.14619883040935672,-0.35580453817907853,84,34,1.2063492063492063,216
2023-05,400,93,117,0.0273492286115007,18,28,0.3010752688172043,3.857142857142857,3.020339215980853,11,0.36100803957946814,0.40425531914893614,2.8253968253968256,0.37964622621791594,5,0.07020757020757021,0.14285714285714285,-0.07155123068116807,121,41,1.2580645161290323,307
2023-06,532,133,201,0.022898154477101845,26,43,0.3233082706766917,5.348837209302325,4.360945709949517,16,0.46768618977921306,0.44884488448844884,2.7486157253599113,0.4037067407925138,4,0.04264916403316857,0.1273532668881506,-0.051725461384098385,132,84,1.5112781954887218,399
2023-07,694,187,429,0.024667931688804556,32,76,0.40641711229946526,8.552631578947368,7.336632557605605,35,0.5399665127148107,0.5086666666666667,2.74140350877193,0.43537822788813785,5,0.023532479848269325,0.11403508771929827,-0.033608650058731704,162,228,2.2941176470588234,507
2023-08,776,227,627,0.024443491481813573,32,108,0.47577092511013214,9.37037037037037,9.066209743993632,40,0.49976540948509907,0.5478441318884021,3.087919695396331,0.44228369161509223,5,0.019238434433692813,0.08757355486327449,0.06305037092680084,82,198,2.762114537444934,549
2023-09,841,245,694,0.023218467714954834,31,109,0.4448979591836735,9.394495412844037,9.082717077837117,41,0.5011742194668609,0.5437798498976575,3.0784913353720693,0.4333595278947698,9,0.019563862296719012,0.08698606863744478,0.05546888227850234,65,67,2.83265306122449,596
