era,total_nodes,connected_nodes,edges,density,avg_degree,avg_clustering,modularity,num_communities,avg_betweenness
gpt35,1214,360,1102,0.01705354379449087,6.122222222222222,0.38069951481219855,0.674768814609447,7,0.012338565843120727
gpt4,44,15,10,0.09523809523809523,1.3333333333333333,0.15555555555555556,0.001208228025931013,2,0.16666666666666666
gpt4o,453,112,148,0.023809523809523808,2.642857142857143,0.2902777777777778,0.6697215837227862,6,0.0701344243132671
reasoning,181,32,27,0.05443548387096774,1.6875,0.16770833333333332,0.35254822016604975,3,0.1595959595959596
gpt45,16,2,1,1.0,0,0,0,0,0
