num_nodes,num_edges,density,num_components,giant_component_size,giant_component_fraction,avg_degree,std_degree,avg_clustering,modularity,num_communities,user_weight,ai_weight,ratio,threshold,ratio_label,file
957,4587,0.010027413071706825,60,808,0.8443051201671892,9.586206896551724,13.829841356452889,0.4833671743795459,0.6926361922769737,14,1.0,1.618,0.6180469715698392,0.875,user1.0-ai1.618,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai1.618_t0.875.json
617,1482,0.007798522385232272,83,332,0.5380875202593193,4.80388978930308,6.376525865569099,0.45762108433256254,0.7206465575744817,13,1.0,1.618,0.6180469715698392,0.9,user1.0-ai1.618,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai1.618_t0.9.json
293,334,0.007807751648043387,75,56,0.19112627986348124,2.279863481228669,2.4724082817645736,0.4543259320045034,0.5815361786716123,6,1.0,1.618,0.6180469715698392,0.925,user1.0-ai1.618,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai1.618_t0.925.json
54,36,0.025157232704402517,23,4,0.07407407407407407,1.3333333333333333,0.6382847385042254,1.0,2.220446049250313e-16,1,1.0,1.618,0.6180469715698392,0.95,user1.0-ai1.618,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai1.618_t0.95.json
1642,51801,0.038449120103677015,19,1600,0.97442143727162,63.095006090133985,81.07875443578713,0.6241752938836208,0.45987387748900893,11,1.0,2.0,0.5,0.8,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.8.json
1458,25223,0.023747049624677424,27,1397,0.958161865569273,34.59945130315501,47.50219170137506,0.5857989142241744,0.5404917816696325,14,1.0,2.0,0.5,0.825,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.825.json
1224,10984,0.014675153244726617,37,1131,0.9240196078431373,17.947712418300654,25.97596069412364,0.5371773557394537,0.6195970918583448,16,1.0,2.0,0.5,0.85,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.85.json
948,4301,0.009581668070166059,67,744,0.7848101265822784,9.073839662447257,13.157870982848863,0.476979395954241,0.6850980184842412,15,1.0,2.0,0.5,0.875,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.875.json
597,1367,0.007683833035423201,87,304,0.509212730318258,4.579564489112228,6.026945453720529,0.4347647198709787,0.7133242970720011,10,1.0,2.0,0.5,0.9,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.9.json
282,309,0.007798894525630347,73,57,0.20212765957446807,2.1914893617021276,2.316805374541385,0.4421810158652264,0.6042778557715309,6,1.0,2.0,0.5,0.925,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.925.json
51,32,0.025098039215686273,22,4,0.0784313725490196,1.2549019607843137,0.5180331299459964,0.8333333333333333,-2.220446049250313e-16,1,1.0,2.0,0.5,0.95,user1.0-ai2.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai2.0_t0.95.json
1582,38978,0.03116816238342325,21,1536,0.9709228824273072,49.27686472819216,65.63319292424958,0.6031068612703757,0.49799007619496366,12,1.0,4.0,0.25,0.8,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.8.json
1389,19160,0.01987621970069484,26,1330,0.9575233981281498,27.588192944564433,38.94026776777457,0.56942248354552,0.5705768050449923,12,1.0,4.0,0.25,0.825,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.825.json
1150,8479,0.012833844174518485,40,1049,0.9121739130434783,14.746086956521738,21.568734565918493,0.520762612296784,0.6381343208611243,16,1.0,4.0,0.25,0.85,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.85.json
